Location,Sample number,Total sample weight (g),Weight of sand grains (g), Weight of cementing material (g), Type of cementing material,Grain shape,Color and transparency of grains,Lost weight (g),Total cementing material and loss by washing (g)  ,Percentage of cementing material (%),Total before adjustment,Specific weight
Nama Mountain - Majz,SD-MS1/1,500,310.61,185.39,White kaolinitic clay,Sub-rounded,Colorless and transparent,4,189.39,37.878,500,
Nama Mountain - Majz,SD-MS1/2,500,347.27,147.23,White kaolinitic clay,Sub-rounded,Colorless and transparent,5.5,152.73,30.55,500,
Nama Mountain - Majz,SD-MS1/3,500,445.55,50.95,White kaolinitic clay,Sub-rounded,Colorless and transparent,3.5,54.45,10.89,500,
Nama Mountain - Majz,SD-MS1/4,500,426,71.1,White kaolinitic clay,Sub-rounded,Colorless and transparent,2.9,74,14.8,500,
Nama Mountain - Majz,SD-MS1/5,500,432.85,62.55,White kaolinitic clay,Sub-rounded,Colorless and transparent,4.6,67.15,13.43,500,
Nama Mountain - Majz,SD-MS1/6,500,400.9,93.8,White kaolinitic clay,Sub-rounded,Colorless and transparent,5.3,99.1,19.82,500,
Nama Mountain - Majz,SD-MS1/7,500,432.3,63.6,White kaolinitic clay,Sub-rounded,Colorless and transparent,4.1,67.7,13.54,500,2.9
Nama Mountain - Majz,SD-MS1/8,500,412.3,83.4,White kaolinitic clay,Sub-rounded,Colorless and transparent,4.3,87.7,17.54,500,
Nama Mountain - Majz,SD-MS1/9,500,415.1,81.1, Carbonate,Rounded,Colorless and transparent,3.8,84.9,16.98,500,
Nama Mountain - Majz,SD-MS1/10,500,440.24,54.66,White kaolinitic clay,Sub-rounded,Colorless and transparent,5.1,59.76,11.952,500,
Nama Mountain - Majz,SD-MS1/11,500,452.33,43.17, Carbonate,Sub-rounded,Colorless and transparent,4.5,47.67,9.534,500,
Nama Mountain - Majz,SD-MS1/12,500,455.13,40.27, Carbonate,Sub-rounded,Colorless and transparent,4.6,44.87,8.974,500,
Nama Mountain - Majz,SD-MS1/13,500,449.7,47.3,White kaolinitic clay,Sub-rounded,Colorless and transparent,3,50,10.06,500,
Nama Mountain - Majz,SD-MS1/14,500,421.95,72.85,White kaolinitic clay,Rounded,Colorless and transparent,5.2,78.05,15.61,500,
Nama Mountain - Majz,SD-MS1/15,500,423.34,72.36, Carbonate,Sub-rounded,Colorless and transparent,4.3,76.66,15.332,500,2.3
Al-Umaydah Mountain - Al-Azqool,SD-AS1/1,500,438.95,57.75, Carbonate,Sub-rounded,Colorless and transparent,3.3,61.05,12.21,500,
Al-Umaydah Mountain - Al-Azqool,SD-AS1/2,500,421.17,73.63, Carbonate,Angular,Colorless and transparent,5.2,78.83,15.766,500,
Al-Umaydah Mountain - Al-Azqool,SD-AS1/3,500,462.34,32.76, Carbonate,Sub-rounded,Colorless and transparent,4.9,37.66,7.532,500,
Al-Umaydah Mountain - Al-Azqool,SD-AS1/4,500,452.45,42.25, Carbonate,Angular,Colorless and transparent,5.3,47.55,9.51,500,
Al-Umaydah Mountain - Al-Azqool,SD-AS1/5,500,444.33,51.57, Carbonate,Angular,Colorless and transparent,4.1,55.67,11.134,500,2.1
Bani Aweer - Qa' Al-Sahla,SD-BS1/1,500,438.56,57.74, Carbonate,Angular,Colorless and transparent,3.7,61.44,12.288,500,
Bani Aweer - Qa' Al-Sahla,SD-BS1/2,500,445.1,51.4, Carbonate,Sub-rounded,Colorless and transparent,3.5,54.9,10.98,500,
Bani Aweer - Qa' Al-Sahla,SD-BS1/3,500,467.16,28.64, Carbonate,Angular,Colorless and transparent,4.2,32.84,6.568,500,
Bani Aweer - Qa' Al-Sahla,SD-BS1/4,500,426.22,69.48,White kaolinitic clay,Sub-rounded,Colorless and transparent,4.3,73.78,14.756,500,
Bani Aweer - Qa' Al-Sahla,SD-BS1/5,500,451.54,43.36, Carbonate,Sub-rounded,Colorless and transparent,5.1,48.46,9.692,500,
